STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
296380,99999, 20120502,   56.8, 8,   40.1, 8, 1006.1, 8,  990.5, 8,  15.1, 8,   6.6, 8,   7.8, 999.9,   68.2 ,  37.8 ,99.99 ,999.9, 010010,
296380,99999, 20120503,   60.8, 8,   40.8, 8, 1001.3, 8,  985.9, 8,  15.5, 8,  12.1, 8,  19.4, 999.9,   67.8 ,  53.1*, 0.01E,999.9, 000000,
296380,99999, 20120504,   49.9, 8,   39.3, 8, 1004.6, 8,  988.8, 8,  15.5, 8,   9.7, 8,  13.6, 999.9,   60.8 ,  42.3*, 0.02E,999.9, 010000,
296380,99999, 20120505,   48.8, 8,   39.2, 8, 1005.2, 8,  989.4, 8,  12.2, 8,  10.9, 8,  13.6, 999.9,   55.4 ,  41.7 , 0.16F,999.9, 010000,
296380,99999, 20120506,   44.1, 8,   30.9, 8, 1011.9, 8,  995.8, 8,  14.8, 8,   6.6, 8,   9.7, 999.9,   55.0 ,  34.0*, 0.00F,999.9, 010000,
296380,99999, 20120507,   40.1, 8,   25.9, 8, 1021.8, 8, 1005.5, 8,  15.0, 8,   5.8, 8,   9.7, 999.9,   48.2 ,  29.7 , 0.00I,999.9, 000000,
296380,99999, 20120508,   39.3, 8,   24.7, 8, 1023.0, 8, 1006.6, 8,  17.9, 8,   5.8, 8,   9.7, 999.9,   48.0 ,  30.9 , 0.00I,999.9, 000000,
296380,99999, 20120509,   34.5, 8,   20.2, 8, 1034.0, 8, 1017.3, 8,  16.1, 8,   5.1, 8,   9.7, 999.9,   43.2 ,  23.7*, 0.00E,999.9, 000000,
296380,99999, 20120510,   42.8, 8,   27.2, 8, 1033.6, 8, 1017.1, 8,  15.1, 8,   5.1, 8,   7.8, 999.9,   52.5 ,  21.9 , 0.00I,999.9, 000000,
296380,99999, 20120511,   46.3, 8,   26.9, 8, 1029.0, 8, 1012.7, 8,  14.1, 8,   1.7, 8,   3.9, 999.9,   58.8 ,  33.1 , 0.00I,999.9, 000000,
296380,99999, 20120512,   53.3, 8,   22.3, 8, 1019.2, 8, 1003.3, 8,  15.8, 8,   3.9, 8,   7.8, 999.9,   65.7 ,  30.9 , 0.00I,999.9, 000000,
296380,99999, 20120513,   63.8, 8,   34.5, 8, 1011.6, 8,  996.2, 8,  15.2, 8,   5.6, 8,   7.8, 999.9,   77.5 ,  42.4 ,99.99 ,999.9, 010000,
296380,99999, 20120514,   66.4, 8,   45.8, 8, 1009.6, 8,  994.3, 8,  18.5, 8,   6.8, 8,  13.6, 999.9,   79.0 ,  48.2 , 0.00E,999.9, 000000,
296380,99999, 20120515,   63.0, 8,   42.7, 8, 1009.4, 8,  994.0, 8,  16.2, 8,   7.3, 8,   9.7, 999.9,   81.5 ,  49.3*, 0.00I,999.9, 000000,
296380,99999, 20120516,   44.1, 8,   28.9, 8, 1015.8, 8,  999.7, 8,  15.0, 8,   9.5, 8,  13.6, 999.9,   54.9 ,  33.6*, 0.08E,999.9, 010000,
296380,99999, 20120517,   46.0, 8,   22.3, 8, 1020.5, 8, 1004.4, 8,  15.9, 8,   4.6, 8,   7.8, 999.9,   56.3 ,  30.9 , 0.00I,999.9, 000000,
296380,99999, 20120518,   52.0, 8,   33.2, 8, 1013.3, 8,  997.5, 8,  15.4, 8,   5.1, 8,   9.7, 999.9,   61.2 ,  37.4 ,99.99 ,999.9, 010000,
296380,99999, 20120519,   43.0, 7,   30.7, 7, 1016.3, 7, 1000.2, 7,  13.4, 7,   7.8, 7,  11.7, 999.9,   51.6 ,  31.1*, 0.19F,999.9, 010000,
296380,99999, 20120520,   44.1, 8,   25.1, 8, 1024.2, 8, 1008.0, 8,  17.8, 8,   5.3, 8,   7.8, 999.9,   52.5 ,  27.5 , 0.00I,999.9, 000000,
296380,99999, 20120521,   53.9, 8,   29.1, 8, 1021.1, 8, 1005.2, 8,  15.3, 8,   4.4, 8,   7.8, 999.9,   64.9 ,  41.9 , 0.00I,999.9, 000000,
296380,99999, 20120522,   58.7, 8,   36.2, 8, 1015.1, 8,  999.4, 8,  13.7, 8,   3.6, 8,   5.8, 999.9,   69.8 ,  41.5 , 0.00I,999.9, 000000,
296380,99999, 20120523,   67.3, 8,   47.4, 8, 1005.8, 8,  990.7, 8,  19.3, 8,   6.6, 8,   9.7, 999.9,   79.5 ,  47.7 , 0.00F,999.9, 010000,
296380,99999, 20120524,   59.9, 8,   48.6, 8, 1002.4, 8,  987.0, 8,  12.6, 8,   9.5, 8,  15.5, 999.9,   78.3 ,  41.9*, 0.06F,999.9, 010010,
296380,99999, 20120525,   45.0, 8,   27.1, 8, 1016.5, 8, 1000.5, 8,  15.6, 8,   6.6, 8,   7.8, 999.9,   51.6 ,  38.3*, 0.00I,999.9, 000000,
296380,99999, 20120526,   45.6, 8,   26.6, 8, 1024.7, 8, 1008.5, 8,  18.6, 8,   4.6, 8,   7.8, 999.9,   50.4 ,  36.0 , 0.00I,999.9, 000000,
296380,99999, 20120527,   55.4, 8,   36.2, 8, 1025.5, 8, 1009.6, 8,  15.5, 8,   5.8, 8,   9.7, 999.9,   63.5 ,  43.7 , 0.00I,999.9, 000000,
296380,99999, 20120528,   57.1, 8,   40.0, 8, 1022.8, 8, 1007.0, 8,  16.5, 8,   4.1, 8,   9.7, 999.9,   68.9 ,  46.9 , 0.00E,999.9, 000000,
296380,99999, 20120529,   62.5, 8,   40.9, 8, 1020.0, 8, 1004.4, 8,  16.3, 8,   2.7, 8,   3.9, 999.9,   73.9 ,  46.0 , 0.00I,999.9, 000000,
296380,99999, 20120530,   66.8, 8,   41.6, 8, 1016.6, 8, 1001.2, 8,  15.5, 8,   3.9, 8,   7.8, 999.9,   79.9 ,  46.4 , 0.00I,999.9, 000000,
296380,99999, 20120531,   71.1, 8,   43.4, 8, 1014.8, 8,  999.6, 8,  15.4, 8,   4.1, 8,   7.8, 999.9,   83.8 ,  50.4 , 0.00I,999.9, 000000,
296380,99999, 20120601,   73.1, 8,   48.2, 8, 1014.2, 8,  999.0, 8,  12.7, 8,   3.6, 8,   7.8, 999.9,   86.4 ,  55.0 , 0.00I,999.9, 000000,
296380,99999, 20120602,   72.5, 8,   52.4, 8, 1013.0, 8,  997.9, 8,  15.8, 8,   2.7, 8,   5.8, 999.9,   87.1 ,  54.3 , 0.00I,999.9, 000000,
296380,99999, 20120603,   72.6, 8,   51.7, 8, 1010.5, 8,  995.4, 8,  12.2, 8,   3.2, 8,   5.8, 999.9,   85.6 ,  54.5 , 0.00I,999.9, 000000,
296380,99999, 20120604,   72.7, 8,   50.3, 8, 1011.1, 8,  996.0, 8,  15.3, 8,   3.4, 8,   7.8, 999.9,   84.9 ,  56.7 , 0.00I,999.9, 000000,
296380,99999, 20120605,   74.5, 8,   48.6, 8, 1007.5, 8,  992.5, 8,  16.3, 8,   4.1, 8,   7.8, 999.9,   87.8 ,  54.1 , 0.00I,999.9, 000000,
296380,99999, 20120606,   73.4, 8,   54.2, 8, 1003.7, 8,  988.8, 8,  13.5, 8,   5.3, 8,   7.8, 999.9,   88.7 ,  56.3 ,99.99 ,999.9, 010000,
