"STATION","NAME","DATE","TAVG"
"RSM00027612","MOSCOW, RS","2012-04-23","57"
"RSM00027612","MOSCOW, RS","2012-04-24","59"
"RSM00027612","MOSCOW, RS","2012-04-25","59"
"RSM00027612","MOSCOW, RS","2012-04-26","61"
"RSM00027612","MOSCOW, RS","2012-04-27","60"
"RSM00027612","MOSCOW, RS","2012-04-28","65"
"RSM00027612","MOSCOW, RS","2012-04-29","63"
"RSM00027612","MOSCOW, RS","2012-04-30","50"
"RSM00027612","MOSCOW, RS","2012-05-01","51"
"RSM00027612","MOSCOW, RS","2012-05-02","47"
"RSM00027612","MOSCOW, RS","2012-05-03","53"
"RSM00027612","MOSCOW, RS","2012-05-04","52"
"RSM00027612","MOSCOW, RS","2012-05-05","59"
"RSM00027612","MOSCOW, RS","2012-05-06","62"
"RSM00027612","MOSCOW, RS","2012-05-07","63"
"RSM00027612","MOSCOW, RS","2012-05-08","60"
"RSM00027612","MOSCOW, RS","2012-05-09","55"
"RSM00027612","MOSCOW, RS","2012-05-10","52"
"RSM00027612","MOSCOW, RS","2012-05-11","60"
"RSM00027612","MOSCOW, RS","2012-05-12","70"
"RSM00027612","MOSCOW, RS","2012-05-13","55"
"RSM00027612","MOSCOW, RS","2012-05-14","50"
"RSM00027612","MOSCOW, RS","2012-05-15","55"
"RSM00027612","MOSCOW, RS","2012-05-16","67"
"RSM00027612","MOSCOW, RS","2012-05-17","67"
"RSM00027612","MOSCOW, RS","2012-05-18","64"
"RSM00027612","MOSCOW, RS","2012-05-19","63"
"RSM00027612","MOSCOW, RS","2012-05-20","68"
"RSM00027612","MOSCOW, RS","2012-05-21","70"
"RSM00027612","MOSCOW, RS","2012-05-22","70"
"RSM00027612","MOSCOW, RS","2012-05-23","61"
"RSM00027612","MOSCOW, RS","2012-05-24","53"
"RSM00027612","MOSCOW, RS","2012-05-25","54"
"RSM00027612","MOSCOW, RS","2012-05-26","57"
"RSM00027612","MOSCOW, RS","2012-05-27","59"
"RSM00027612","MOSCOW, RS","2012-05-28","57"
"RSM00027612","MOSCOW, RS","2012-05-29","62"
"RSM00027612","MOSCOW, RS","2012-05-30","66"
"RSM00027612","MOSCOW, RS","2012-05-31","54"
"RSM00027612","MOSCOW, RS","2012-06-01","53"
"RSM00027612","MOSCOW, RS","2012-06-02","57"
"RSM00027612","MOSCOW, RS","2012-06-03","49"
"RSM00027612","MOSCOW, RS","2012-06-04","53"
"RSM00027612","MOSCOW, RS","2012-06-05","58"
"RSM00027612","MOSCOW, RS","2012-06-06","62"
"RSM00027612","MOSCOW, RS","2012-06-07","60"
"RSM00027612","MOSCOW, RS","2012-06-08","63"
"RSM00027612","MOSCOW, RS","2012-06-09","61"
"RSM00027612","MOSCOW, RS","2012-06-10","61"
"RSM00027612","MOSCOW, RS","2012-06-11","65"
"RSM00027612","MOSCOW, RS","2012-06-12","69"
"RSM00027612","MOSCOW, RS","2012-06-13","63"
"RSM00027612","MOSCOW, RS","2012-06-14","63"
"RSM00027612","MOSCOW, RS","2012-06-15","65"
"RSM00027612","MOSCOW, RS","2012-06-16","65"
"RSM00027612","MOSCOW, RS","2012-06-17","68"
"RSM00027612","MOSCOW, RS","2012-06-18","67"
"RSM00027612","MOSCOW, RS","2012-06-19","67"
"RSM00027612","MOSCOW, RS","2012-06-20","68"
"RSM00027612","MOSCOW, RS","2012-06-21","66"
"RSM00027612","MOSCOW, RS","2012-06-22","67"
"RSM00027612","MOSCOW, RS","2012-06-23","68"
"RSM00027612","MOSCOW, RS","2012-06-24","63"
"RSM00027612","MOSCOW, RS","2012-06-25","65"
"RSM00027612","MOSCOW, RS","2012-06-26","71"
"RSM00027612","MOSCOW, RS","2012-06-27","62"
"RSM00027612","MOSCOW, RS","2012-06-28","62"
"RSM00027612","MOSCOW, RS","2012-06-29","60"
"RSM00027612","MOSCOW, RS","2012-06-30","62"
"RSM00027612","MOSCOW, RS","2012-07-01","64"
"RSM00027612","MOSCOW, RS","2012-07-02","72"
"RSM00027612","MOSCOW, RS","2012-07-03","71"
"RSM00027612","MOSCOW, RS","2012-07-04","73"
"RSM00027612","MOSCOW, RS","2012-07-05","74"
"RSM00027612","MOSCOW, RS","2012-07-06","74"
"RSM00027612","MOSCOW, RS","2012-07-07","72"
"RSM00027612","MOSCOW, RS","2012-07-08","71"
"RSM00027612","MOSCOW, RS","2012-07-09","75"
"RSM00027612","MOSCOW, RS","2012-07-10","75"
"RSM00027612","MOSCOW, RS","2012-07-11","73"
"RSM00027612","MOSCOW, RS","2012-07-12","77"
"RSM00027612","MOSCOW, RS","2012-07-13","71"
"RSM00027612","MOSCOW, RS","2012-07-14","66"
"RSM00027612","MOSCOW, RS","2012-07-15","68"
"RSM00027612","MOSCOW, RS","2012-07-16","68"
"RSM00027612","MOSCOW, RS","2012-07-17","63"
"RSM00027612","MOSCOW, RS","2012-07-18","62"
"RSM00027612","MOSCOW, RS","2012-07-19","60"
"RSM00027612","MOSCOW, RS","2012-07-20","60"
"RSM00027612","MOSCOW, RS","2012-07-21","62"
"RSM00027612","MOSCOW, RS","2012-07-22","63"
"RSM00027612","MOSCOW, RS","2012-07-23","65"
"RSM00027612","MOSCOW, RS","2012-07-24","67"
"RSM00027612","MOSCOW, RS","2012-07-25","73"
"RSM00027612","MOSCOW, RS","2012-07-26","74"
"RSM00027612","MOSCOW, RS","2012-07-27","74"
"RSM00027612","MOSCOW, RS","2012-07-28","71"
"RSM00027612","MOSCOW, RS","2012-07-29","72"
"RSM00027612","MOSCOW, RS","2012-07-30","74"
"RSM00027612","MOSCOW, RS","2012-07-31","74"
"RSM00027612","MOSCOW, RS","2012-08-01","76"
"RSM00027612","MOSCOW, RS","2012-08-02","71"
"RSM00027612","MOSCOW, RS","2012-08-03","70"
"RSM00027612","MOSCOW, RS","2012-08-04","70"
"RSM00027612","MOSCOW, RS","2012-08-05","72"
"RSM00027612","MOSCOW, RS","2012-08-06","72"
"RSM00027612","MOSCOW, RS","2012-08-07","78"
"RSM00027612","MOSCOW, RS","2012-08-08","72"
"RSM00027612","MOSCOW, RS","2012-08-09","67"
"RSM00027612","MOSCOW, RS","2012-08-10","63"
"RSM00027612","MOSCOW, RS","2012-08-11","62"
"RSM00027612","MOSCOW, RS","2012-08-12","64"
"RSM00027612","MOSCOW, RS","2012-08-13","65"
"RSM00027612","MOSCOW, RS","2012-08-14","60"
"RSM00027612","MOSCOW, RS","2012-08-15","66"
"RSM00027612","MOSCOW, RS","2012-08-16","64"
"RSM00027612","MOSCOW, RS","2012-08-17","65"
"RSM00027612","MOSCOW, RS","2012-08-18","63"
"RSM00027612","MOSCOW, RS","2012-08-19","66"
"RSM00027612","MOSCOW, RS","2012-08-20","61"
"RSM00027612","MOSCOW, RS","2012-08-21","52"
"RSM00027612","MOSCOW, RS","2012-08-22","54"
"RSM00027612","MOSCOW, RS","2012-08-23","58"
"RSM00027612","MOSCOW, RS","2012-08-24","60"
"RSM00027612","MOSCOW, RS","2012-08-25","61"
"RSM00027612","MOSCOW, RS","2012-08-26","61"
"RSM00027612","MOSCOW, RS","2012-08-27","61"
"RSM00027612","MOSCOW, RS","2012-08-28","60"
"RSM00027612","MOSCOW, RS","2012-08-29","59"
"RSM00027612","MOSCOW, RS","2012-08-30","56"
"RSM00027612","MOSCOW, RS","2012-08-31","53"
"RSM00027612","MOSCOW, RS","2012-09-01","50"
"RSM00027612","MOSCOW, RS","2012-09-02","48"
"RSM00027612","MOSCOW, RS","2012-09-03","55"
"RSM00027612","MOSCOW, RS","2012-09-04","57"
"RSM00027612","MOSCOW, RS","2012-09-05","57"
"RSM00027612","MOSCOW, RS","2012-09-06","62"
"RSM00027612","MOSCOW, RS","2012-09-07","53"
"RSM00027612","MOSCOW, RS","2012-09-08","53"
"RSM00027612","MOSCOW, RS","2012-09-09","49"
"RSM00027612","MOSCOW, RS","2012-09-10","49"
"RSM00027612","MOSCOW, RS","2012-09-11","52"
"RSM00027612","MOSCOW, RS","2012-09-12","60"
"RSM00027612","MOSCOW, RS","2012-09-13","62"
"RSM00027612","MOSCOW, RS","2012-09-14","61"
